Interested_Area,programming,Web,Mobile,Software,Linux,UML,UI,Network,Security,Cloud,BigData,ML,Mathematics,Statistics,Support,Topup_Course,choice
Multimedia,3,9,2,10,4,7,8,8,8,10,9,2,4,7,3,IM,3D Visualizer
IT,6,8,10,6,3,1,10,3,0,6,2,8,7,9,9,IT,Business Analyst
Cyber,3,3,0,2,10,2,4,0,1,3,0,3,1,1,0,Cyber,Network Security Engineer
Business,1,3,3,3,3,10,2,6,9,7,9,1,7,9,10,ISE,IT Consultant
Networking,1,3,1,1,9,3,0,4,4,1,4,1,0,3,3,CSN,Network Engineer
Computational  Theory,9,4,0,6,6,0,3,8,2,6,8,2,6,8,4,CS,Software Architect
Multimedia,1,5,3,6,3,7,6,10,8,9,8,2,0,8,4,IM,UI Engineer
Cyber,0,4,1,2,6,1,1,3,4,2,0,3,4,3,4,Cyber,Endpoint Engineer
Multimedia,4,7,4,9,4,8,8,9,7,7,10,0,4,9,3,IM,Game Concept designer
Analytics,10,2,1,3,0,6,0,6,8,6,9,10,6,8,2,Data,Data scientist
Computational  Theory,10,4,0,8,7,3,2,6,3,6,6,1,9,9,1,CS,Software Architect
Cyber,0,4,0,0,8,0,1,1,3,4,0,0,2,1,4,Cyber,Application security engineer
IT,8,7,8,6,4,3,7,2,0,6,3,8,10,8,9,IT,Cloud Engineer
Analytics,7,1,2,2,3,9,0,6,7,6,8,9,6,6,1,Data,DataBase Engineer
Multimedia,1,7,3,7,0,9,9,6,7,6,9,4,4,8,0,IM,3d Modeler
Computational  Theory,7,2,2,9,6,3,2,6,3,9,8,0,8,6,4,CS,Software Architect
Networking,1,1,2,4,6,3,0,3,0,4,3,2,0,0,3,CSN,Network Engineer
Cyber,4,2,2,2,7,4,0,3,0,4,3,4,2,3,2,Cyber,Secure Software Developer
Systems,0,3,3,4,10,2,3,0,4,4,0,4,8,9,0,CSE,Computer Hardware Engineer
Analytics,9,4,0,2,1,6,1,7,8,7,7,8,7,7,1,Data,Business Analyst
Systems,0,0,2,4,7,1,2,1,0,4,3,1,6,9,4,CSE,Computer Hardware Engineer
Analytics,5,3,2,3,1,7,2,6,7,10,7,7,6,9,1,Data,Data Analyst
IT,10,7,9,10,0,4,9,3,3,10,3,10,9,8,9,IT,UX/UI Engineer
Networking,3,1,2,0,8,3,1,1,4,1,4,0,3,4,0,CSN,Database Administrator
Systems,1,0,4,4,6,4,4,4,2,3,1,2,10,6,4,CSE,Aeronautics Engineer
Business,0,3,4,3,1,7,4,9,6,10,7,1,10,9,7,ISE,IT Technical Support Officer
Analytics,6,1,2,1,0,10,4,9,7,6,9,8,9,9,1,Data,Data Consultant
Cyber,3,0,0,4,8,2,4,3,2,0,0,1,2,3,4,Cyber,Application security engineer
Networking,4,2,1,2,6,1,4,1,1,1,1,2,0,3,1,CSN,System Designer
Business,1,4,2,4,3,6,4,10,6,9,7,4,6,8,6,ISE,Business Consultant
Cyber,3,1,0,4,9,0,4,0,2,0,0,0,3,0,4,Cyber,Information Assurance Engineer
Cyber,0,3,3,4,6,2,3,0,3,3,2,1,4,4,2,Cyber,Network Security Engineer
Computational  Theory,8,2,4,9,10,0,4,10,1,7,7,4,8,10,2,CS,Technical Consultant
Networking,3,0,1,1,9,0,4,4,1,0,1,2,1,1,4,CSN,Information Security Manager
Business,2,4,0,3,0,6,4,9,9,9,8,4,9,8,7,ISE,Information Security Analyst
Cyber,2,4,4,1,9,1,3,3,4,0,0,2,4,3,0,Cyber,Network Administrator
Systems,0,0,4,1,9,4,4,4,4,4,2,3,10,9,2,CSE,Computer System Design Engineer
Cyber,3,0,1,0,6,0,4,2,0,2,3,1,3,3,4,Cyber,Endpoint Engineer
Programming,6,8,9,7,1,3,7,3,3,10,6,9,8,6,0,SE,Technical Consultant
Systems,4,3,4,3,10,4,2,4,1,2,4,0,7,7,1,CSE,Computer System Design Engineer
Business,0,0,1,0,2,10,1,6,8,8,6,4,6,7,6,ISE,IT Technical Support Officer
Cyber,0,4,3,0,10,4,2,4,4,4,4,1,1,2,0,Cyber,Firewall Administrator
Business,0,0,2,4,4,9,0,6,7,9,7,1,7,8,8,ISE,Data Analyst
Networking,3,0,3,4,8,0,0,4,4,1,2,2,3,1,1,CSN,Communication Engineer
Networking,1,2,2,1,9,0,0,3,1,2,0,4,4,3,1,CSN,Cloud Engineer / Architect
Programming,5,6,6,9,3,4,7,4,1,10,8,8,8,8,0,SE,UI/UX Engineer
Multimedia,2,10,3,9,0,8,8,8,10,7,10,1,2,8,4,IM,3D Visualizer
Business,1,3,1,4,4,6,4,6,9,7,7,0,7,10,8,ISE,System Developer
Computational  Theory,6,0,0,8,10,0,1,9,0,6,8,4,9,7,3,CS,Software Architect
