Faculty,Interested_Field,GPA,Work_Experience,TopUp,Career_Choice,Position
Computing,Design,3.31,1,Computer System Networking,Audio Visual Technician,Intern
Computing,Support,3.37,2,Information System Engineering,Site Support Engineer,Intern
Computing,Support,3.35,24,Computer Systems,Field Engineer Server Support,Associate
Computing,Ensemble Learning,2.79,18,Data Science,Ensemble Learning Specialist,Associate
Computing,Data Science Ethics,3.35,21,Data Science,Data Science Ethics Specialist,Associate
Computing,Bayesian Statistics,3.39,8,Data Science,Bayesian Statistician,Intern
Computing,Data Science in Marketing,2.74,2,Data Science,Marketing Data Scientist,Intern
Computing,Software Testing and Quality Assurance,2.6,4,Quality assurance,Software Testing Engineer,Intern
Computing,Software Architecture and Design,2.88,14,Software Engineering,Software Architect,Associate
Computing,Agile Software Development,3.11,5,Software Engineering,Agile Software Developer,Intern
Computing,DevOps,3.17,13,Software Engineering,DevOps Engineer,Associate
Computing,Software Maintenance and Evolution,3.21,11,Software Engineering,Software Maintenance Engineer,Intern
Computing,Requirements Engineering,3.44,17,Software Engineering,Requirements Engineer,Associate
Computing,Software Metrics and Measurement,2.84,8,Software Engineering,Software Metrics Analyst,Intern
Computing,Software Project Management,3.16,17,Software Engineering,Software Project Manager,Associate
Computing,Software Verification and Validation,3.26,9,Software Engineering,Software Verification and Validation Engineer,Intern
Computing,Software Process Improvement,3.55,8,Software Engineering,Software Process Improvement Specialist,Intern
Computing,Continuous Integration and Deployment,3.11,19,Software Engineering,CI/CD Engineer,Associate
Computing,User Interface (UI) Design,2.86,14,Software Engineering,UI Designer,Associate
Computing,Software Security,3.6,15,Software Engineering,Software Security Engineer,Associate
Computing,Software Documentation,2.78,13,Software Engineering,Technical Writer,Associate
Computing,Software Configuration Management,2.88,4,Software Engineering,Configuration Manager,Intern
Computing,Software Quality Management,2.83,19,Software Engineering,Software Quality Manager,Associate
Computing,Software Engineering Ethics,2.84,10,Software Engineering,Software Engineering Ethics Specialist,Intern
Computing,Software Requirement Analysis,3.3,16,Software Engineering,Requirement Analyst,Associate
Computing,Software Version Control,2.57,20,Software Engineering,Version Control Specialist,Associate
Computing,Software Code Review,3.04,5,Quality assurance,Code Reviewer,Intern
Computing,Network Design and Management,3.34,20,Systems and Network Engineering,Network Design Engineer,Associate
Computing,Network Security,3.69,24,Systems and Network Engineering,Network Security Engineer,Associate
Computing,Cloud Infrastructure Management,3.66,17,Systems and Network Engineering,Cloud Infrastructure Manager,Associate
Computing,Distributed Systems,2.67,19,Systems and Network Engineering,Distributed Systems Engineer,Associate
Computing,Virtualization,3.59,6,Systems and Network Engineering,Virtualization Specialist,Intern
Computing,Network Performance Optimization,3.51,6,Systems and Network Engineering,Network Performance Engineer,Intern
Computing,Wireless and Mobile Networks,2.71,1,Systems and Network Engineering,Wireless Network Engineer,Intern
Computing,Network Protocols,3.51,6,Systems and Network Engineering,Network Protocols Specialist,Intern
